Date,Daily_Return,Cumulative_Return,Equity,ABN_NA_Equity_BPSO_IM_Equity_return,ACA_FP_Equity_BPSO_IM_Equity_return,BPSO_IM_Equity_ISP_IM_Equity_return,DNB_NO_Equity_NDA_FH_Equity_return,JYSK_DC_Equity_SYDB_DC_Equity_return
2021-11-01,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-02,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-03,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-04,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-05,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-08,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-09,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-10,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-11,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-12,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-15,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-16,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-17,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-18,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-19,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-22,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-23,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-24,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-25,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-26,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-29,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-11-30,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-02,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-03,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-06,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-07,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-08,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-09,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-10,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-13,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-14,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-15,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-16,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-17,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-20,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-21,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-22,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-23,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-24,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-27,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-28,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-29,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
2021-12-30,0.003971540386022388,0.003971540386022321,1003.9715403860223,0.0,0.0,0.019857701930111937,0.0,0.0
2021-12-31,0.0008568708346556431,0.00483181431780344,1004.8318143178035,0.0,0.004284354173278215,0.0,0.0,0.0
2022-01-03,0.0018714800074983717,0.0067123369691974855,1006.7123369691975,0.0,0.009357400037491859,0.0,0.0,0.0
2022-01-04,0.0020203225109451496,0.008746220565622576,1008.7462205656226,0.0,0.0,0.0,0.0,0.010101612554725747
2022-01-05,0.0,0.008746220565622576,1008.7462205656226,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.004832493830921792,0.0038714606777736638,1003.8714606777737,-0.014031755427242998,0.0,0.0,0.0,-0.010130713727365959
2022-01-07,-0.0031190695211594562,0.0007403158016117128,1000.7403158016117,-0.010897318639534914,-0.02307938310063551,0.0,0.0,0.01838135413437314
2022-01-10,-0.010124923646135375,-0.009392103485489023,990.607896514511,-0.01037162126450708,-0.040252996966169796,0.0,0.0,0.0
2022-01-11,0.0295514485445205,0.01988179479615515,1019.8817947961552,0.060041771832731294,0.0877154708898712,0.0,0.0,0.0
2022-01-12,0.0011797459922223475,0.02108499625610638,1021.0849962561064,0.0,0.016480314429144993,0.0,0.0,-0.010581584468033256
2022-01-13,-0.013130108716636802,0.007678039246337143,1007.6780392463371,0.0,0.0,0.0,0.0,-0.065650543583184
2022-01-14,0.0,0.007678039246337143,1007.6780392463371,0.0,0.0,0.0,0.0,0.0
2022-01-17,0.0,0.007678039246337143,1007.6780392463371,0.0,0.0,0.0,0.0,0.0
2022-01-18,0.0,0.007678039246337143,1007.6780392463371,0.0,0.0,0.0,0.0,0.0
2022-01-19,-0.0015782347122735186,0.0060876867860029105,1006.0876867860029,-0.0015821323759981354,-0.006309041185369457,0.0,0.0,0.0
2022-01-20,0.003168446784025325,0.009275422081647555,1009.2754220816475,0.0073951384226306205,0.008447095497496004,0.0,0.0,0.0
2022-01-21,0.004224488030862039,0.013539094022074538,1013.5390940220746,0.009679441804024469,0.011442998350285727,0.0,0.0,0.0
2022-01-24,-0.002216390252934253,0.011292695853116097,1011.2926958531161,0.0,-0.011081951264671264,0.0,0.0,0.0
2022-01-25,-5.0869298533573476e-05,0.011241252103065813,1011.2412521030658,0.0,-0.00025434649266786735,0.0,0.0,0.0
2022-01-26,-3.537976641876384e-07,0.01124089432827291,1011.2408943282729,0.0,-1.7689883209381918e-06,0.0,0.0,0.0
2022-01-27,0.0022022879284793184,0.013467937942636787,1013.4679379426368,0.007530351624213338,0.0034810880181832538,0.0,0.0,0.0
2022-01-28,0.0005825672626991407,0.014058351185077367,1014.0583511850774,0.005314599992859659,-0.002401763679363955,0.0,0.0,0.0
2022-01-31,0.0010300661685353153,0.015102898385553898,1015.1028983855539,0.0,0.005150330842676576,0.0,0.0,0.0
2022-02-01,0.0,0.015102898385553898,1015.1028983855539,0.0,0.0,0.0,0.0,0.0
2022-02-02,0.0,0.015102898385553898,1015.1028983855539,0.0,0.0,0.0,0.0,0.0
2022-02-03,0.0,0.015102898385553898,1015.1028983855539,0.0,0.0,0.0,0.0,0.0
2022-02-04,0.0,0.015102898385553898,1015.1028983855539,0.0,0.0,0.0,0.0,0.0
2022-02-07,0.0,0.015102898385553898,1015.1028983855539,0.0,0.0,0.0,0.0,0.0
2022-02-08,0.007063375930803462,0.02227295176529931,1022.2729517652994,0.0,0.03531687965401731,0.0,0.0,0.0
2022-02-09,0.0005994473135599421,0.022885750539960004,1022.88575053996,0.0,0.0,0.0,0.0,0.0029972365677997104
2022-02-10,-0.004435662650602401,0.018348574420456565,1018.3485744204565,0.0,0.0,0.0,0.0,-0.022178313253012005
2022-02-11,0.004841653494889742,0.023279065354815165,1023.2790653548152,0.0,0.0,0.0,0.0,0.024208267474448708
2022-02-14,0.0,0.023279065354815165,1023.2790653548152,0.0,0.0,0.0,0.0,0.0
2022-02-15,-0.0002558735162965675,0.02301723534221023,1023.0172353422103,0.0,0.0,0.0,-0.0012793675814828376,0.0
2022-02-16,0.0017478765932426032,0.02480534322234873,1024.8053432223487,0.0,0.0,0.0,0.008739382966213016,0.0
2022-02-17,-0.0014680373927820067,0.023300890658175533,1023.3008906581755,0.0,0.0,0.0,-0.007340186963910034,0.0
2022-02-18,0.0019725054516482213,0.025319357243675178,1025.319357243675,0.0,0.0,0.0,0.009862527258241105,0.0
